univName,link,univRequirementDetail,univCourse,toefl,ielts,det,awardee
Boston University,https://iisma.kemdikbud.go.id/info/31-boston-university-metropolitan-college/,"Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.5 TOEFL iBT: 84 (minimum 21 for reading, 22 for writing, 18 for listening, 23 for speaking) Duolingo English Test: 110 ","['Entrepreneurial Management', 'Project Management', 'Negotiations and Organizational Conflict Resolution', 'The Innovation Process: Developing New Products and Services', 'American Institutions and Culture', 'Business Strategy: Policy, problems of business organizations', 'International Economics', 'Leadership in the Workplace', 'International Business Management', 'Operations Management', 'International Business Law and Regulation']",84,6.5,110,ApplicantsApplicants : 395 students GPA : 3.12-4.00TOEFL iBT Score : 88-106IELTS Score : 6.5-8.5Duolingo English Test Score : 0-155AwardeesAwardees : 20 students GPA : 3.39-3.96TOEFL iBT Score : IELTS Score : 8.5Duolingo English Test Score : 140-155 
Arizona State University,https://iisma.kemdikbud.go.id/info/56-arizona-state-university/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.5 TOEFL iBT: 79 Duolingo English Test: 115 ,"['Principles of Marketing for Global Organizations', 'Big Data in the Global Economy', 'Global Entrepreneurship', 'Regional Management Environment', 'Global Risk Assessment and Management ', 'Supply Chain Operations for Global Organization ', 'Principles of Global Management', 'International Trade Regional Economic Agreements ', 'Cross-Cultural Communication and Negotiation']",79,6.5,115,No awardee details
The University of Pennsylvania,https://iisma.kemdikbud.go.id/info/05-the-university-of-pennsylvania-college-of-liberal-and-professional-studies/,Academic: GPA of 3.3 or above on their studies to dateEnglish Language: IELTS: 7 (no band score less than 6.5) TOEFL iBT: 100 (no component less than 22) Duolingo English Test: 120 (no component less than 110) ,"['World Musics and Culture', 'Global Media', 'Intro to Asian American Studies', 'Applied Data Analysis', 'Intro to Micro Economics', 'Econometric Machine Learning Methods and Models', 'Data Science for Studying Language and the Mind', 'Language, Cognition and Culture', 'Ideas in Mathematics', 'Knowledge for Social Impact: Analyzing Current Issues and Approaches', 'Venture Capital and Entrepreneurial ', 'Ethics', 'Modern Political Thought', 'Intro to Experimental Psychology', 'Introduction to Sociology', 'Digital Democracy ', 'Narrative Across Cultures', 'Judgement and Decisions', 'Analytics and the Digital Economy']",100,7,120,ApplicantsApplicants : 309 studentsGPA : 3.03-4.00 TOEFL iBT Score : 107-114  IELTS Score : 6.5-8.5Duolingo English Test Score : 105-160<b>Awardees</b>Awardees : 20 students GPA : 3.47-4.00 TOEFL iBT Score :  IELTS Score : 8.5Duolingo English Test Score : 145-160 
Yale University,https://iisma.kemdikbud.go.id/info/06-yale-university/,Academic: GPA of 3.0 or above on their studies to dateEnglish Language: IELTS: 7.0 TOEFL iBT: 100 Duolingo English Test: 120  ,"['Topics in International Economics', 'World Cinema', 'Education and Empire', 'Film, Video, and American History', 'What is Law?', 'Energy, Environment, and Public Policy', 'Global Climate Change and the Carbon Cycle', 'International Human Rights and Politics', 'Introduction to American Politics', 'Global Health Ethnography', 'Investigative Journalism', 'Trust–and Mistrust', 'Medicine and the Humanities: Certainty and Unknowing', 'Multiracial Identities, Experiences, and Politics', 'Rethinking Civil Rights and Black Power', 'Race, Gender, and Class Inequities in the U.S.']",100,7.0,120 ,No awardee details
Penn State University,https://iisma.kemdikbud.go.id/info/29-penn-state-university/,English Language: IELTS: 6.5 TOEFL iBT: 80 Duolingo English Test: 120   ,"['Introductory Sociology', 'Race, Ethnicity and Culture', 'Introduction to Art', 'Anthropology, Ancestry, and You', 'Stars, Galaxies, and the Universe', 'Environmental Science', 'Introduction to Spreadsheets and Databases', 'General View of Mathematics', 'Classical Mythology', 'Gender, Diversity and the Media']",80,6.5,120  ,"ApplicantsApplicants : 80 students GPA : 3.09-3.96TOEFL iBT Score : 90-102IELTS Score : 6.5-7.5Duolingo English Test Score : 90-145<b>Awardees</b>Awardees : 10 students GPA : 3.56-3.94TOEFL iBT Score :  IELTS Score : Duolingo English Test Score : <span style=""color: var(--color); font-size: inherit; background-color: var(--palettecolor8); font-family: var(--fontFamily); font-style: var(--fontStyle, inherit); letter-spacing: var(--letterSpacing); text-transform: var(--textTransform); text-decoration: var(--textDecoration);"">140-145</span>"
"University of California, Davis",https://iisma.kemdikbud.go.id/info/30-university-of-california-davis/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 7 TOEFL iBT: 80 Duolingo English Test: 105 ,"['Introduction to Film Studies', 'Principles of Microeconomics', 'Principles of Macroeconomics', 'Introduction to Entrepreneurship', 'Introduction Forensic Science', 'Introduction to Food Preservation', 'Discovery and Concepts', 'Cognitive Neuroscience: The Biological Foundations of the Mind', 'Neuroeconomics/Reinforcement Learning & Decision Making', 'Sociology of Adolescence', 'Sociology of Culture', 'Design of Coffee', 'Introduction to Comparative Politics', 'General Psychology', 'Fundamentals of Organization Management', 'Introduction to Mass Communication', 'Presentation, Communication, Collaboration', 'Design and Analysis for Sensory Food Science', 'Managing and Using Information Technology', 'Supply Chain Planning & Management']",80,7,105,No awardee details
UC Chile,https://iisma.kemdikbud.go.id/info/35-uc-chile/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6 TOEFL iBT: 75 Duolingo English Test: 95 ,"['Astronomy', 'Fintech: Financial Technology and Applications', 'Research, Innovation, and Entrepreneurship', 'Theories And Hard Questions About Public International Law', 'Advertising Law', 'International Investment Law And Policy', 'Environmental Criticism, Ecocriticism, or Green Cultural Studies?', 'Topics in Political Theory', 'Microeconomics', 'Environment and Economics of Natural Resources', 'Astrophysics Frontier', 'Competition and Market', 'Global Corporate Governance and Business Strategy', 'Spanish and English Contrasts', 'Language and the Brain', 'Indigenous Writings in the Americas', 'Language and Social Change', 'Survival Spanish for Beginners - A1', 'Spanish for Upper Beginners A2', 'Literary Theory II']",75,6,95,<b>Applicants</b>Applicants : 12 studentsGPA : 3.47-4.00TOEFL iBT Score : 56-94IELTS Score : 6-7.5Duolingo English Test  Score : 125-160 <b>Awardees</b>Awardees : 4 students GPA : 3.58-3.94TOEFL iBT Score : 94 IELTS Score : 6.5Duolingo English Test Score :  
Michigan State University,https://iisma.kemdikbud.go.id/info/45-michigan-state-university/,Academic: GPA of 3.0 or above on their studies to dateEnglish Language: IELTS: 6.5 (no sub-score below 6.0)  TOEFL iBT: 79 (no sub-score below 17) Duolingo English Test: 110 ,"['Issues in Food and Agriculture ', 'Introduction to Financial Literacy', 'The Individual, Couples and Families', 'Social Differentiation and Equality', 'Introduction to Cultural Anthropology', 'Understanding China', 'US History since 1876', 'Computer-Aided Design for Designers', 'Lifespan Human Development in the Family ', 'Ethnic Families in America', 'Personal Finance', 'Children, Youth and Family', 'Introduction to Microeconomics', 'Writing as Inquiry', 'Introduction to Criminal Justice', 'Navigating Another Culture ', 'Global Change', 'Criminology', 'Interpersonal Relationships in the Family ', 'Matrix Algebra with Computational Applications']",79,6.5,110,No awardee details
University of Colorado Boulder,https://iisma.kemdikbud.go.id/info/64-university-of-colorado-boulder/,Academic: GPA of 3.0 or above on their studies to date English Language: IELTS: 6.5 TOEFL iBT: 75 Duolingo English Test: 120 ,"['Modern Cosmology: Origin and Structure of the Universe', 'Computation in Society', 'Designing Interactions', 'Foundations in Public Health', 'Introduction to Nutrition', 'Critical Thinking', 'Ethics for Information Technology', 'Symbolic Logic', 'Introduction to Contemporary Media Cultures', 'Introduction to American Politics', 'Exploring Culture and Gender Through Film', 'Ancient Astronomies of the World', 'American Indians in Film', 'Group Interaction', 'Environmental Literature', 'Global Geographies: Societies, Places, Connections', 'History of Jazz', 'US Art Across Cultures']",75,6.5,120,No awardee details
University of British Columbia,https://iisma.kemdikbud.go.id/info/13-university-of-british-columbia/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.5 TOEFL iBT: 90 Duolingo English Test: 125 ,"['Foundations of Bioproducts and the Bioeconomy', 'Plants, Carbon, and Environment', 'Introduction to Conservation', 'Principles of Forest Science', 'Introduction to Wood Products and Global Trade', 'Conservation Decision-Making and Policy', 'Issues in Genomics and the Environment', 'Recreation and Tourism Planning', 'Greening the City', 'Urban Forests and Well-Being']",90,6.5,125,No awardee details
University of Waterloo,https://iisma.kemdikbud.go.id/info/42-university-of-waterloo/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.5 TOEFL iBT: 90 Duolingo English Test: 120 ,"['Plants and Civilization', 'Introductory Earth Sciences', 'World Cinema and Visual Culture', 'Introduction to Global Emerging Cities', 'Green Entrepreneurship', 'The Physics of How Things Work', 'Introduction to Microeconomics', 'Introductory Psychology', 'Introduction to Environmental Studies', 'Foundations:  Environment, Resources and Sustainability']",90,6.5,120,ApplicantsApplicants : 145 students GPA : 3.03-4.00TOEFL iBT Score : 88-96IELTS Score : 6.5-8.5Duolingo English Test Score : 70-155AwardeesAwardees : 15 studentsGPA : 3.11-3.96TOEFL iBT Score : IELTS Score : 8Duolingo English Test Score : 140-155
Western University,https://iisma.kemdikbud.go.id/info/46-western-university/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.5 TOEFL iBT: 83 Duolingo English Test: 115 ,"[' Data Science Concepts', 'Sounds, Sights & Bits', 'Computer Science Fundamentals 1', 'Social Networking: Theory & Practice', 'Roman\xa0Emperors: The Good, The Bad, and The\xa0Ugly', 'Economics of Sports', 'Climate Change', 'Philosophy and AI\tWill robots take all our jobs?', 'Race and the struggle for Freedom in America', ' Gender, Migration & Climate Change']",83,6.5,115,No awardee details
University of Chicago,https://iisma.kemdikbud.go.id/info/03-university-of-chicago/,Academic: GPA of 3.5 or above on their studies to dateEnglish Language: IELTS: 7 TOEFL iBT: 104 (no component less than 26) Duolingo English Test: not accepted ,['No course'],104,7,not,No awardee details
University of Texas at Austin,https://iisma.kemdikbud.go.id/info/21-university-of-texas-at-austin/,Academic: GPA of 3.0 or above on their studies to dateEnglish Language:  IELTS: 6.5  TOEFL iBT: 78  Duolingo English Test: not accepted ,['No course'],78 ,6.5 ,not,No awardee details
Osaka University,https://iisma.kemdikbud.go.id/info/18-osaka-university/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6 TOEFL iBT: 80 Duolingo English Test: 110 ,"[' Japanese Literature, Modern and Contemporary', 'Approaches to Understanding Cultures', 'IISMA Special Research B', 'Introduction to Cross-cultural Understanding', 'Introduction to Intercultural Communication', 'Introduction to International Understanding', 'Media and Communications in Japan', 'Multivariate Statistical Science', 'Primatology in Japan', 'Science and Society', 'Sociology of Migration']",80,6,110,No awardee details
Singapore Management University,https://iisma.kemdikbud.go.id/info/74-singapore-management-university/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 7  TOEFL iBT: 93  Duolingo English Test: 125 ,"['Computing Technology for Finance  ', 'Computational Thinking ', 'Financial Accounting ', 'Design Thinking and Innovation ', 'International Business ', 'Managing in a VUCA Context ', 'Economics of Globalisation ', 'Economic Development in Asia ', 'Democracy ', 'Art History: Modern, Postmodern and Contemporary ']",93 ,7 ,125,No awardee details
Hanyang University (Seoul Campus),https://iisma.kemdikbud.go.id/info/44-hanyang-university-seoul-campus/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6 TOEFL iBT: 78 Duolingo English Test: 100Never had TB/TBC infection ,"['Cultural and Ethnic Diversity In Korea', 'Asian Business and Marketing', 'Marketing Management', 'Management of Global Corporations', 'Contemporary Korean Studies', 'Consumer Behavior', 'Fluid Mechanics 2', 'Strategic Management', 'Theories of Media Effects', 'International Business', 'AI+X:Introduction to Data Science', 'Advertising & Promotion', 'Culture of Korea and Korean Wave', 'Service Operations Management', 'Innovation Strategy', 'C++ Programming', 'Business Ethics and Sustainability Management', 'Information Technology and Data Strategy', 'Introduction to Intelligent Robot Control', 'International Marketing']",78,6,100Never,ApplicantsApplicants : 925 students GPA : 3.00-4.00 TOEFL iBT Score : 80-120IELTS Score : 6-8Duolingo English Test Score : 65-160AwardeesAwardees : 50 students GPA : 3.31-4.0TOEFL iBT Score : 108 IELTS Score : 7.5-8Duolingo English Test Score : 125-145 
National Taiwan University of Science and Technology (Taiwan Tech),https://iisma.kemdikbud.go.id/info/71-national-taiwan-university-of-science-and-technology-taiwan-tech,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6 TOEFL iBT: 78 Duolingo English Test: 100 ,"['Mandarin Chinese Practical (Level 1)', 'Mandarin Chinese Practical (Level 2)', 'Mandarin Chinese Practical (Level 3)', 'Discussion on International Affairs in English', 'European Urban Culture and Economy', 'Business English Professional Presentation Bootcamp', 'Marketing Planning', 'Advanced English for the Workplace', 'Basic Oral Chinese ', 'News English', 'Advanced English for Presentations', 'Market Research', 'Introduction to Engineering and Engineering Ethics', 'Brand Management', 'Web Design']",78,6,100,ApplicantsApplicants : 183 studentsGPA : 3.16-4.00TOEFL iBT Score :  IELTS Score : 6-7 Duolingo English Test Score : 80-145AwardeesAwardees : 20 studentsGPA : 3.36-3.88 TOEFL iBT Score : IELTS Score : Duolingo English Test Score : 125-145
Korea University,https://iisma.kemdikbud.go.id/info/23-korea-university/,No requirement ,"['ENVIRONMENTAL SOCIOLOGY', 'CREATIVE DESIGN', 'PATTERN RECOGNITION', 'DATA LEARNING AND INTELLIGENCE', 'BEHAVIORAL NEUROSCIENCE OF EMOTION', 'SOCIAL NETWORK ANALYSIS', 'CEREAL SCIENCE']",No TOEFL iBT requirement,No IELTS requirement,No DET requirement,No awardee details
Universiti Malaya,https://iisma.kemdikbud.go.id/info/17-universiti-malaya/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6 TOEFL iBT: 78 Duolingo English Test: 100 ,"['Health, Wellness and Fitness', 'Martial Arts In Dance', 'Islamic Economic System in Malaysia', 'Project Management and Analysis', 'Development Economics', 'E-Commerce', 'Welfare System', 'Ethnicity, Identity, and Political Minorities in Southeast Asia', 'Politics and Government in Southeast Asia', 'Foreign Policy Analysis', 'A Comparative Study of Indian and Malay Modern', 'Malay Folk Dance I', 'Organizational Behavior', 'Business Application Development', 'Gender, Society And Culture', 'Traditional Heritage of Southeast Asia', 'Performing Arts of Southeast Asia', 'Human Rights and International Politics', 'Sustainable Development', 'Art, Culture and Malay Society']",78,6,100,No awardee details
Universiti Kebangsaan Malaysia,https://iisma.kemdikbud.go.id/info/38-universiti-kebangsaan-malaysia/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6 TOEFL iBT: 79 Duolingo English Test: 105 ,"['Malaysia in Narration', 'International Economics', 'Life Crafts', 'Oral Communication Strategies', 'Introduction To Psychology', 'Personality', 'Gaining Confidence Through Storytelling', 'Fundamentals of Entrepreneurship and Innovation', 'Biotechnology & Society', 'Introduction to Intercultural Communication', 'Environmental Law', 'Pelancongan Dan Produk Budaya (taught in Malay Language)', 'Academic Writing', 'Family Economics Planning', 'Philosophy and Current Issues']",79,6,105,No awardee details
Universiti Sains Malaysia,https://iisma.kemdikbud.go.id/info/40-universiti-sains-malaysia/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6 TOEFL iBT: 79 Duolingo English Test: 100 ,"['Principles of Marketing', 'International Business', 'Business Communication', 'Economy, Entrepreneurship And Culture', 'Fundamentals Acting', 'Visual Communication', 'Western Philosophy And Modern Thought', 'Malaysian Studies', 'Business And Communication English', 'Communication And Presentation Skills', 'Bahasa Malaysia I', 'Introduction To Built Environment & Human Settlement']",79,6,100,No awardee details
Nanyang Technological University,https://iisma.kemdikbud.go.id/info/04-nanyang-technological-university/,Academic: GPA of 3.3 or above on their studies to dateEnglish Language: IELTS: 6 (writing band score no less than 6) TOEFL iBT: 90 Duolingo English Test: 125 ,"['Venturing into Entrepreneurship', 'Leadership in the 21st Century', 'Introduction to Computational Thinking', 'Introduction to Geography', 'E-Startups & Social Media Strategies', 'New Venture Financing', 'Cultural Intelligence: How to be an Explorer of the World', 'Marketing for the 21st Century', 'Management Decision Tools', 'Introduction to Literature', 'Natural Hazards and Society']",90,6,125,ApplicantsApplicants : 112 students GPA : 3.12-4.00TOEFL iBT Score : 100-109 IELTS Score : 6-8.5Duolingo English Test Score : 105-155AwardeesAwardees : 25 studentsGPA : 3.33-3.99TOEFL iBT Score : IELTS Score : 8-8.5 Duolingo English Test Score : 135-155
Keio University,https://iisma.kemdikbud.go.id/info/52-keio-university/,Academic: GPA of 3.0 or above on their studies to dateEnglish Language: IELTS: 6.0 TOEFL iBT: 78 Duolingo English Test: 100 ,"['MANAGEMENT OF EMERGING BUSINESSES', 'INTERNATIONAL FINANCE', 'REGION AND SOCIETY (ASIA-PACIFIC) ', 'ENVIRONMENT RISK SCIENCE', 'MUSIC AND THE BRAIN ', 'HAPTIC SCIENCE AND TECHNOLOGY', 'DESIGN OBSERVATION', 'NATIONAL SECURITY POLICY', 'MULTINATIONAL MANAGEMENT ', 'CHOICES AND FREEDOM', 'HISTORY OF MUSIC', 'GEOGRAPHY OF PLANNING PRACTICE', 'GOVERNANCE AND INSTITUTIONS(LOCAL GOVERNMENT) ', 'ASIA WORKSHOP', 'INTRODUCTION TO SECOND LANGUAGE LEARNING AND TEACHING', 'REGION AND CULTURE (ASIA-PACIFIC) ', 'ANALYTICAL FRAMEWORK FOR POLICY DESIGN ']",78,6.0,100,No awardee details
National Taiwan University,https://iisma.kemdikbud.go.id/info/18-national-taiwan-university/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.0 TOEFL iBT: 78 Duolingo English Test: 100 ,"['Modern English Poetry', 'History of Ancient Greek Literature', 'Exploring Taiwan: Natural Resources Conservation and Management ', 'Developments of Information and Communication Technologies', 'Biology in the movies ', 'Trends in Plant Science ', 'Exploring Taiwan: Agricultural and food biotechnology ', 'Computer Programming in Python ', 'Philosophy of Space and Time ', 'Edible Insects ', 'Ancient Greek and Introduction to the Sciences of the Antiquity', 'Exploring Taiwan: natural environment and resources ', 'Global Competence with Internationalization at Home ', 'General Biology (b)(1) ', 'Archiving Nature: Introduction to the Natural History Museums ', 'Introduction to Nutrition and Food ', 'Essentials of Global Health ', 'Western Philosophy of Religion ', 'Exploring Taiwan: Biomedical Development and Diseases ', 'International Companions for Learning']",78,6.0,100,ApplicantsApplicants : 240 studentsGPA : 3.04-4.00TOEFL iBT Score : 86-97 IELTS Score : 6.5-7.5Duolingo English Test Score : 85-150AwardeesAwardees : 20 students GPA : 3.28-3.98TOEFL iBT Score :  IELTS Score : 7.5Duolingo English Test Score : 135-150
Chulalongkorn University,https://iisma.kemdikbud.go.id/info/55-chulalongkorn-university/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.5 TOEFL iBT: 80 Duolingo English Test: 105 ,"['Human Anatomy and Physiology', 'Food and Drug Technology for Wellbeing', 'Smart City and Urban Development', 'Technology, Globalization, & Sustainable Development', 'Socioeconomic Transformation for Sustainability', 'IoT/Embedded Systems', 'Big Data Analytics', 'Digital Trust, Privacy & Security (Blockchain)', 'Intellectual Property and Data Security Management', 'Stakeholder Engagement for Innovators']",80,6.5,105,"ApplicantsApplicants : 182 students GPA : 3.05-4.00TOEFL iBT Score : 83-96IELTS Score : 6.5-7.5Duolingo English Test Score : 75-145AwardeesAwardees : 6GPA : 3.56-3.88TOEFL iBT Score : IELTS Score : Duolingo English Test Score : <span style=""color: var(--color); font-size: inherit; background-color: var(--palettecolor8); font-family: var(--fontFamily); font-style: var(--fontStyle, inherit); letter-spacing: var(--letterSpacing); text-transform: var(--textTransform); text-decoration: var(--textDecoration);"">135-145</span>"
Middle East Technical University,https://iisma.kemdikbud.go.id/info/73-middle-east-technical-university/,"Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6,5 TOEFL iBT: 79 Duolingo English Test: 92 ","['ENGINEERING ECONOMY', 'SYSTEMS THINKING', 'BUSINESS COMMUNICATION I', 'BUSINESS COMMUNICATION II', 'CROSS CULTURAL STUDIES IN ORGANIZATIONS', 'EXPLORING ENVIRONMENTAL HISTORY', 'INTRODUCTION TO POLITICS I', 'LOCATING EUROPE IN A GLOBALISED WORLD', 'MARKETING AND CULTURE', 'TURKISH BUSINESS ENVIRONMENT', 'SOCIETY AND CULTURE IN EURASIA', 'ECONOMY, SOCIETY, AND CIVILIZATION I', 'TOPICS IN SOCIAL PSYCHOLOGY', 'HISTORY OF ECONOMIC THOUGHT', 'BUILDING RESILIENCE THROUGH ADAPTIVE LEADERSHIP', 'SOCIETY AND CULTURE', 'STATE AND SOCIETY IN TURKEY', 'LANGUAGE AND CULTURE', 'ADVANCED WRITING RESEARCH SKILLS', 'THE NEW ECONOMY OF INDUSTRY 4.0']",79,"6,5",92,"ApplicantsApplicants : 551 students GPA : 3.00-4.00TOEFL iBT Score : 94IELTS Score : 6-7.5Duolingo English Test Score : 0-140AwardeesAwardees : 10 students GPA : 3.44-3.93TOEFL iBT Score : IELTS Score : 7 Duolingo English Test Score : <span style=""color: var(--color); font-size: inherit; background-color: var(--palettecolor8); font-family: var(--fontFamily); font-style: var(--fontStyle, inherit); letter-spacing: var(--letterSpacing); text-transform: var(--textTransform); text-decoration: var(--textDecoration);"">135-140</span>"
